PFCNTR,DMA_CODE,DMA_DESC,OPEN_BRANDS_DESC,OPERTNL_STAT_CODE,LEGAL_ENTITY_NAME,CITY_NAME,STATE_CODE,CNTY_NAME,ZIP_CODE,CNTRY,Latitude,Longitude
353521,539,"Tampa/St. Pete/Sarasota, FL",DD,Open,"KB DONUTS, INC.",Tampa,FL,Hillsborough,33606,USA,27.944378,-82.476488
353523,524,"Atlanta, GA",DD,Open,"141 Donuts Holdings, LLC",Johns Creek,GA,Fulton,30097,USA,34.055288,-84.174864
353524,789,"Tucson, AZ",DD,Open,MOUNTAIN MUNCHKINS ONE LLC,Tucson,AZ,Pima,85747,USA,32.088597,-110.775779
353526,521,"Providence, RI",DD,Open,"Cumberland Donuts, LLC",Central Falls,RI,Providence,2863,USA,41.892914,-71.387473
353528,504,"Philadelphia, PA",DD,Permanent Close,Columbus Food Services LLC,Philadelphia,PA,Philadelphia,19147,USA,39.941403,-75.147982
353532,630,"Birmingham, AL",DD,Permanent Close,"Star Restaurant, Inc.",Tuscaloosa,AL,Tuscaloosa,35476,USA,33.14831,-87.544162
353533,548,"W. Palm Bch/Ft. Pierce, FL",DD,Open,"Rubiano Holdings, Inc.",Loxahatchee,FL,Palm Beach,33470,USA,26.683874,-80.292289
353536,675,"Peoria/Bloomington, IL",DD,Open,SMM 1826 INC.,Pontiac,IL,Livingston,61764,USA,40.872866,-88.665035
353537,602,"Chicago, IL",DD,Open,"SKYE DAL ENTERPRISES, INC.",Kankakee,IL,Kankakee,60901,USA,41.120381,-87.867184
353540,602,"Chicago, IL",DD,Not Yet Open,,Western Springs,IL,COOK,60558,USA,41.789452,-87.898211
353541,602,"Chicago, IL",DD,Open,SHREE JALARAMSAI INC,Bolingbrook,IL,Will,60490,USA,41.674389,-88.124616
353543,803,"Los Angeles, CA",DD,Open,"First and Harbor D, Inc.",Santa Ana,CA,Orange,92704,USA,33.74491,-117.920494
353545,539,"Tampa/St. Pete/Sarasota, FL",DD,Open,SSRM VB3 LLC,Tampa,FL,Hillsborough,33647,USA,28.146794,-82.354236
353546,640,"Memphis, TN",DD,Permanent Close,"JP FOODS, LLC",Millington,TN,Shelby,38053,USA,35.351613,-89.89957
353547,521,"Providence, RI",DD,Open,"Ionian, Inc.",Smithfield,RI,Providence,2917,USA,41.868533,-71.506404
353548,563,"Grand Rapids, MI",DD/BR,Permanent Close,"SACK ON CASCADE, LLC",Grand Rapids,MI,Kent,49546,USA,42.913625,-85.506522
353550,534,"Orlando/Daytona/Melbourne, FL",DD,Open,"SSRM 11, LLC",Winter Springs,FL,Seminole,32708,USA,28.704105,-81.284414
353551,504,"Philadelphia, PA",DD,Open,Columbus Food Services LLC,Philadelphia,PA,Philadelphia,19145,USA,39.910101,-75.186746
353553,554,"Wheeling, IL/Steubenville, OH",DD,Open,"HRG Weirton, LLC",Weirton,WV,Brooke,26062,USA,40.399097,-80.550734
353554,534,"Orlando/Daytona/Melbourne, FL",BR/DD,Open,"CG DONUTS, LLC",Davenport,FL,Osceola,33896,USA,28.261251,-81.616768
353555,548,"W. Palm Bch/Ft. Pierce, FL",DD,Open,SHREE HARI DONUT LLC,Delray Beach,FL,Palm Beach,33446,USA,26.436382,-80.205045
353556,548,"W. Palm Bch/Ft. Pierce, FL",DD,Permanent Close,"Jensen Beach Donuts, LLC",Stuart,FL,Martin,34994,USA,27.228178,-80.264245
353557,500,"Portland, ME",DD,Open,"DMCP Group, LLC",Dixfield,ME,Oxford,4224,USA,44.531361,-70.45639
353558,506,"E. Mass/Southern, NH",DD,Open,"G & P DONUTS, INC.",Norfolk,MA,Norfolk,2056,USA,42.089331,-71.301439
353559,506,"E. Mass/Southern, NH",DD,Open,"Christina Donuts, LLC",Hudson,NH,Hillsborough,3051,USA,42.819556,-71.412732
353562,560,"Raleigh/Durham, NC",DD,Open,"Franklin St Chapel Hill Raleigh, LLC",Chapel Hill,NC,Orange,27514,USA,35.931213,-79.033643
353564,500,"Portland, ME",DD,Open,"Winslow Donuts, LLC",Winslow,ME,Kennebec,4901,USA,44.541538,-69.626507
353567,504,"Philadelphia, PA",DD,Not Yet Open,,Vineland,NJ,Cumberland,8361,USA,39.45867,-74.985047
353569,501,"Metro, NY",DD,Open,1779 Southern Donuts LLC,Bronx,NY,Bronx,10460,USA,40.83797,-73.887515
353570,501,"Metro, NY",DD,Open,WESTSIDE DONUT PARSONS VENTURES LLC,Flushing,NY,Queens,11354,USA,40.776021,-73.824176
353573,529,"Louisville, KY",DD,Temporary Close,ANJU DONUTS OF LOUISVILLE LLC,Louisville,KY,Jefferson,40202,USA,38.253174,-85.757254
353574,505,"Detroit, MI",BR/DD,Open,"OM DIXIE DONUTS, INC",Waterford Township,MI,Oakland,48329,USA,42.688468,-83.38417
353575,534,"Orlando/Daytona/Melbourne, FL",DD,Open,WESTSIDE KISSIMMEE DONUTS LLC,Kissimmee,FL,Osceola,34747,USA,28.346276,-81.644188
353576,561,"Jacksonville, FL",DD,Open,"Rima & Raj, LLC",Jacksonville,FL,Duval,32244,USA,30.203234,-81.739998
353579,506,"E. Mass/Southern, NH",DD,Open,"Watermark Donut Company, Inc.",Boston,MA,Suffolk,2210,USA,42.344379,-71.044019
353584,577,"Wilkes Barre-Scranton, PA",DD,Open,BAPA SOUTH KEYSTONE AVE LLC,Sayre,PA,Bradford,18840,USA,41.983066,-76.526466
353588,602,"Chicago, IL",BR/DD,Open,"HARI DONUTS MAIN STREET, INC.",Saint Charles,IL,Kane,60174,USA,41.921162,-88.280041
353589,501,"Metro, NY",DD,Open,Kew Donut Corporation,Long Island City,NY,Queens,11101,USA,40.747612,-73.947535
353590,501,"Metro, NY",DD,Open,"Chelsea Cafe Group, LLC",Wappingers Falls,NY,Dutchess,12590,USA,41.559755,-73.941113
353591,534,"Orlando/Daytona/Melbourne, FL",DD,Open,"MAC WEST COLONIAL, LLC",Orlando,FL,Orange,32807,USA,28.551673,-81.456921
353592,501,"Metro, NY",DD,Open,Metro Franchising Commissary LLC,Cambria Heights,NY,Queens,11411,USA,40.696443,-73.743773
353595,501,"Metro, NY",DD,Open,AJ DONUTS INC.,Iselin,NJ,Middlesex,8830,USA,40.57252,-74.317889
353598,532,"Albany-Schenectady-Troy, NY",DD,Temporary Close,"Aramark Sports and Entertainment Services, LLC",Albany,NY,Albany,12207,USA,42.648596,-73.755326
353599,532,"Albany-Schenectady-Troy, NY",DD,Temporary Close,"Aramark Sports and Entertainment Services, LLC",Albany,NY,Albany,12202,USA,42.6482,-73.754449
353600,566,"Lancaster/Harrisburg/York, PA",DD,Open,Goldwater Greencastle LLC,Greencastle,PA,Franklin,17225,USA,39.786652,-77.714393
353601,504,"Philadelphia, PA",DD,Not Yet Open,,Philadelphia,PA,PHILADELPHIA,19152,USA,40.064581,-75.053811
353604,819,"Seattle, WA",BR,Permanent Close,NW Petro Inc.,Mount Vernon,WA,Skagit,98274,USA,48.414133,-122.31256
